Date,Item,Qty,Amount
2023-01-01,Bolt Cap,6,600.0
2023-01-01,Havoline,2,500.0
2023-01-01,Battery 7,3,1350.0
2023-01-01,Headlight Bulb,1,50.0
2023-01-01,VS1 Small,2,300.0
2023-01-01,Castrol Oil,3,840.0
2023-01-01,Plate Badge,1,95.0
2023-01-02,Domino Switch,1,200.0
2023-01-02,Clutch Cable,1,130.0
2023-01-02,Quick Tire,1,1780.0
2023-01-02,Unerseat Organinzer,4,520.0
2023-01-03,Clutch Cable,3,390.0
2023-01-03,Battery 7,1,450.0
2023-01-03,Electrical Tape,4,80.0
2023-01-03,Bearing,3,330.0
2023-01-03,Tire 80x80x14,3,2400.0
2023-01-03,Volt Meter,2,300.0
2023-01-03,Knuckle Bearing,1,150.0
2023-01-04,Domino Switch,3,600.0
2023-01-04,Silver Bolt,25,1250.0
2023-01-04,Brake Shoes,3,1050.0
2023-01-04,Throttle Assist,3,105.0
2023-01-04,Bolt,7,70.0
2023-01-04,Socket Relay,1,70.0
2023-01-04,Socket Relay,4,280.0
2023-01-05,Quick Tire,4,7120.0
2023-01-05,Interior Leo,1,150.0
2023-01-05,Throttle Assist,2,70.0
2023-01-05,Spark Plug,1,200.0
2023-01-05,Engine Sprocket Screw,1,20.0
2023-01-05,Foot Rest,4,1000.0
2023-01-05,Throttle Assist,1,35.0
2023-01-05,Switch,1,200.0
2023-01-05,Motorcycle Cover Oxford,3,2970.0
2023-01-05,Gear Oil,1,80.0
2023-01-06,Handgrip Domino Red,1,200.0
2023-01-06,Chain Lube,2,300.0
2023-01-06,Castrol Oil,4,1120.0
2023-01-06,Tire Sealant,3,300.0
2023-01-06,Clutch Cable,1,130.0
2023-01-06,Carb Cleaner,4,600.0
2023-01-06,Osram Peanut Bulb,3,90.0
2023-01-06,Battery 7,1,450.0
2023-01-06,Chain Lock,2,20.0
2023-01-07,Spark Plug Cap,2,60.0
2023-01-07,Regulator,2,600.0
2023-01-07,Mat 12 mm,1,10.0
2023-01-07,Tail Light,4,120.0
2023-01-07,Fuel Hose,4,120.0
2023-01-07,Spark Plug Housing Cap,1,30.0
2023-01-07,Chain Lube,1,150.0
2023-01-07,Zic Gear Oil 100ml,1,80.0
2023-01-07,Tire 90 x 90-17,2,2100.0
2023-01-08,Headlight Bulb,1,50.0
2023-01-08,Horn,1,100.0
2023-01-08,Brake Master Caliper,1,850.0
2023-01-08,Bolt Cap,19,1900.0
2023-01-08,Battery 5L,4,3360.0
2023-01-08,Tire 80x80x14,4,3200.0
2023-01-08,Chain Standard,1,300.0
2023-01-08,Osram Peanut Bulb,1,30.0
2023-01-08,Flasher Relay,1,50.0
2023-01-09,Switch,2,400.0
2023-01-09,Spark Plug,1,200.0
2023-01-09,Helmet Freshener,1,200.0
2023-01-09,Fuel Hose,4,120.0
2023-01-09,Expander Bracket Motowolf,3,240.0
2023-01-09,Headlight Bulb,1,50.0
2023-01-09,Switch,2,400.0
2023-01-09,Volt Meter,4,600.0
2023-01-09,Gear Oil,1,80.0
2023-01-09,Helmet Freshener,3,600.0
2023-01-10,Pito Curve,1,50.0
2023-01-10,Allen Bolt,14,140.0
2023-01-10,Clutch Cable,1,130.0
2023-01-10,Chain Lock,3,30.0
2023-01-10,Bolt Cap,7,700.0
2023-01-10,Brake Fluid,4,400.0
2023-01-11,Bearing,2,220.0
2023-01-11,Body Bolt Set,5,125.0
2023-01-11,Switch,1,200.0
2023-01-11,E Bolt,17,12750.0
2023-01-11,Coolant,1,150.0
2023-01-12,Baby Bolt Set,5,50.0
2023-01-12,Tire 80x80x14,1,800.0
2023-01-12,Bolt,18,180.0
2023-01-13,Side Mirror Carbon,2,500.0
2023-01-13,Bolt Cap,13,1300.0
2023-01-13,Flasher Relay,3,150.0
2023-01-14,Battery 7,1,450.0
2023-01-14,Coolant,2,300.0
2023-01-14,Battery 5L,1,840.0
2023-01-14,Honda Oil,1,300.0
2023-01-14,Mirror Ext.,1,15.0
2023-01-14,Zic Gear Oil 100ml,3,240.0
2023-01-14,Bolt Cap,11,1100.0
2023-01-15,Motol,4,600.0
2023-01-15,Spark Plug Housing Cap,1,30.0
2023-01-15,Bolt Cap Gold,6,600.0
2023-01-15,Brake Shoe Honda Click,1,350.0
2023-01-15,Motol,1,150.0
2023-01-15,Unerseat Organinzer,1,130.0
2023-01-15,Motul 800 m2,1,315.0
2023-01-15,Mirror Ext.,3,45.0
2023-01-15,Engine Sprocket Lock,1,10.0
2023-01-15,Tail Light Bulb,3,150.0
2023-01-15,Shell Advance,3,990.0
2023-01-15,Engine Sprocket Lock,1,10.0
2023-01-15,Throttle Assist,2,70.0
2023-01-15,Knuckle Bearing,1,150.0
2023-01-16,Body Bolt Set,15,375.0
2023-01-16,Coolant,1,150.0
2023-01-16,Brake Pad OKM,1,120.0
2023-01-16,Push Start,4,80.0
2023-01-17,Brake Pad OKM,1,120.0
2023-01-17,Phone Holder Universal,3,255.0
2023-01-17,Bolt Cap,17,1700.0
2023-01-17,Peanut Bulb,4,80.0
2023-01-17,Throttle Cable,1,200.0
2023-01-17,Tire Sealant,1,100.0
2023-01-17,Bolt Cap,8,800.0
2023-01-17,Motol,3,450.0
2023-01-18,Throttle Assist,1,35.0
2023-01-18,Interior Series,1,160.0
2023-01-18,Fuel Hose,1,30.0
2023-01-18,Brake Master Caliper,1,850.0
2023-01-18,Unerseat Organinzer,1,130.0
2023-01-18,Plate Badge,3,285.0
2023-01-18,Expander Bracket Motowolf,2,160.0
2023-01-19,Motorcycle Cover Universal,1,187.0
2023-01-19,Chain Lube,2,300.0
2023-01-19,Knuckle Bearing,3,450.0
2023-01-19,Honda Oil,1,300.0
2023-01-19,Bolt Cap,14,1400.0
